Frame Number,Vehicle Make,Probability,Object ID
1,Ford Explorer 2018,0.8374746,0
1,Jeep Grand Cherokee SUV 2012,0.14988281,0
1,Land Rover LR2 SUV 2012,0.006151621,0
1,Cadillac Escalade EXT Crew Cab 2007,0.0013454262,0
1,Chevrolet Avalanche Crew Cab 2012,0.00082391535,0
1,Land Rover Range Rover SUV 2012,0.000736048,0
1,HUMMER H2 SUT Crew Cab 2009,0.0007128969,0
1,Jeep Compass SUV 2012,0.00037282085,0
1,Cadillac SRX SUV 2012,0.000303762,0
1,Chevrolet Camaro Convertible 2012,0.00023878142,0
1,Ford Edge SUV 2012,0.00021608156,0
1,Mitsubishi Lancer Sedan 2012,0.00018433305,0
1,Audi R8 Coupe 2012,0.00015437911,0
1,Chevrolet Express Cargo Van 2007,0.00013964999,0
1,Honda CRV 2012,0.0001172846,0
1,Audi S5 Convertible 2012,0.00011108561,0
1,Audi RS 4 Convertible 2008,0.00010711206,0
1,Audi S5 Coupe 2012,0.00010362221,0
1,Dodge Durango SUV 2012,7.18921e-05,0
1,Honda Accord Coupe 2012,5.1695486e-05,0
1,Nissan Juke Hatchback 2012,4.338864e-05,0
1,Chevrolet Traverse SUV 2012,4.3342076e-05,0
1,Ford Fiesta Sedan 2012,4.1777297e-05,0
1,Audi S6 Sedan 2011,3.945528e-05,0
1,Acura TL Type-S 2008,3.8525275e-05,0
1,GMC Terrain SUV 2012,3.6225854e-05,0
1,Audi S4 Sedan 2012,3.3500655e-05,0
1,Audi A5 Coupe 2012,2.808462e-05,0
1,Chevrolet Tahoe Hybrid SUV 2012,2.7196777e-05,0
1,Isuzu Ascender SUV 2008,2.654825e-05,0
1,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,2.4171099e-05,0
1,MINI Cooper Roadster Convertible 2012,2.224916e-05,0
1,Ford Expedition 2017,1.761234e-05,0
1,Hyundai Genesis Sedan 2012,1.6497725e-05,0
1,Hyundai Santa Fe SUV 2012,1.6454373e-05,0
1,Dodge Journey SUV 2012,1.5904414e-05,0
1,Volvo C30 Hatchback 2012,8.318298e-06,0
1,Acura TSX Sedan 2012,8.2847855e-06,0
1,Ford Freestar Minivan 2007,7.0729634e-06,0
1,smart fortwo Convertible 2012,7.0092997e-06,0
